Signum,Crosses,Plats,Socken,Härad,Kommun,Classif,Ristare,Materialtyp,Bildlänk,Lat,Long
G 1 M ,0,Sundre kyrka,Sundre sn,Hoburgs ting,Gotland,NA,,sten,,56.936427,18.182091
G 2 M ,0,Sundre kyrka,Sundre sn,Hoburgs ting,Gotland,NA,,sten,,56.936427,18.182091
G 3 M ,0,Sundre kyrka,Sundre sn,Hoburgs ting,Gotland,NA,,sten,,56.936427,18.182091
G 4 †M ,0,Vamlingbo kyrka,Vamlingbo sn,Hoburgs ting,Gotland,NA,,sten,,56.968041,18.229694
G 5 †$M ,0,Vamlingbo kyrka,Vamlingbo sn,Hoburgs ting,Gotland,NA,,sten,,56.968041,18.229694
G 6 †M ,0,Vamlingbo kyrka,Vamlingbo sn,Hoburgs ting,Gotland,NA,,sten,,56.968041,18.229694
G 7 †M ,0,Vamlingbo kyrka,Vamlingbo sn,Hoburgs ting,Gotland,NA,,sten,,56.968041,18.229694
G 8 M ,0,Sigraifs,Vamlingbo sn,Hoburgs ting,Gotland,NA,,sten,,56.968041,18.229694
G 9 †M ,0,Storms,Vamlingbo sn,Hoburgs ting,Gotland,NA,,sten,,56.968041,18.229694
G 11 †M ,0,Hamra kyrka,Hamra sn,Hoburgs ting,Gotland,NA,,sten,,56.975889,18.314187
G 12 M ,0,Hamra kyrka,Hamra sn,Hoburgs ting,Gotland,NA,,sten,,56.975889,18.314187
G 13 M ,0,Hamra kyrka,Hamra sn,Hoburgs ting,Gotland,NA,,sten,,56.975889,18.314187
G 14 M ,0,Hamra kyrka,Hamra sn,Hoburgs ting,Gotland,NA,,sten,,56.975889,18.314187
G 15 †M ,0,Hamra kyrka,Hamra sn,Hoburgs ting,Gotland,NA,,sten,,56.975889,18.314187
G 16 †$M ,0,Hamra kyrka,Hamra sn,Hoburgs ting,Gotland,NA,,sten,,56.975889,18.314187
G 17 M ,0,Hamra kyrka,Hamra sn,Hoburgs ting,Gotland,NA,,sten,,56.975889,18.314187
G 18 M ,0,Hamra kyrka,Hamra sn,Hoburgs ting,Gotland,NA,,sten,,56.975889,18.314187
G 19 M ,0,Hamra kyrka,Hamra sn,Hoburgs ting,Gotland,NA,,sten,,56.975889,18.314187
G 21 M ,0,Öja kyrka,Öja sn,Hoburgs ting,Gotland,NA,Ole <luþar> (S),sten,,57.034668,18.300763
G 22 †$M ,0,Öja kyrka,Öja sn,Hoburgs ting,Gotland,NA,,sten,,57.034668,18.300763
G 23 †M ,0,Öja kyrka,Öja sn,Hoburgs ting,Gotland,NA,,sten,,57.034668,18.300763
G 24 M ,0,Öja kyrka,Öja sn,Hoburgs ting,Gotland,NA,,sten,,57.034668,18.300763
G 25 M ,0,Öja kyrka,Öja sn,Hoburgs ting,Gotland,NA,,sten,,57.034668,18.300763
G 26 M ,0,Öja kyrka,Öja sn,Hoburgs ting,Gotland,NA,,sten,,57.034668,18.300763
G 27 $M ,0,Öja kyrka,Öja sn,Hoburgs ting,Gotland,NA,,sten,,57.034668,18.300763
G 28 $M ,0,Fide kyrka,Fide sn,Grötlinge ting,Gotland,NA,,sten,,57.073949,18.315515
G 29 †M ,0,Fide kyrka,Fide sn,Grötlinge ting,Gotland,NA,,sten,,57.073949,18.315515
G 30 †M ,0,Fide kyrka,Fide sn,Grötlinge ting,Gotland,NA,,sten,,57.073949,18.315515
G 32 $M ,0,Anderse,Fide sn,Grötlinge ting,Gotland,NA,,sten,,57.073949,18.315515
G 33 $M ,0,Näs kyrka,Näs sn,Grötlinge ting,Gotland,NA,,sten,,57.074376,18.221147
G 34 $M ,0,Näs kyrka,Näs sn,Grötlinge ting,Gotland,NA,,sten,,57.074376,18.221147
G 35 M ,0,Grötlingbo kyrka,Grötlingbo sn,Grötlinge ting,Gotland,NA,,sten,,57.132568,18.34713
G 36 $M ,0,Grötlingbo kyrka,Grötlingbo sn,Grötlinge ting,Gotland,NA,Ole,sten,,57.132568,18.34713
G 36B M ,0,Grötlingbo kyrka,Grötlingbo sn,Grötlinge ting,Gotland,NA,,sten,,57.132568,18.34713
G 37  ,0,Grötlingbo kyrka,Grötlingbo sn,Grötlinge ting,Gotland,Pr3,,sten,,57.132568,18.34713
G 39 †M ,0,Koparve,Grötlingbo sn,Grötlinge ting,Gotland,NA,,sten,,57.132568,18.34713
G 40 $ ,0,Roes,Grötlingbo sn,Grötlinge ting,Gotland,NA,,sten,http://kulturarvsdata.se/shm/media/html/23976,57.132568,18.34713
G 41  ,0,Viges,Grötlingbo sn,Grötlinge ting,Gotland,NA,,sten,,57.132568,18.34713
