ID,Cross,Place,Socken,Härad,Kommun,Classification,Latitude,Long,Longitude,Lat
Sm 40 $ ,0,Burvik,Knutby sn,Närdinghundra hd,Uppsala,Pr3?,59.90246,6644776,18.38027,1643931
Sm 42  ,1,Burvik,Knutby sn,Närdinghundra hd,Uppsala,?,59.90246,6644785,18.38027,1643937
Sm 43 $ ,0,Gränsta,Knutby sn,Närdinghundra hd,Uppsala,?,59.90307,6645124,18.24494,1636497
Sö 258 $ ,1,Dalby kyrka,Dalby sn,Hagunda hd,Uppsala,Pr4,59.75983,6628018,17.57316,1599369
Sö 259  ,0,Dalby kyrka,Dalby sn,Hagunda hd,Uppsala,?,59.75983,6627999,17.57316,1599369
Sö 26 $ ,0,Hållberga,Dalby sn,Hagunda hd,Uppsala,Pr5,59.77639,6629832,17.50696,1595918
Sö 260  ,1,Hässle,Dalby sn,Hagunda hd,Uppsala,?,59.75513,6627222,17.55745,1598759
Sö 261  ,1,Viggby (nu: Viggeby) bro,Dalby sn,Hagunda hd,Uppsala,Pr4,59.76692,6628874,17.55598,1598176
Sö 262 $ ,1,Viggby (nu: Viggeby) bro,Dalby sn,Hagunda hd,Uppsala,Pr2,59.76692,6628860,17.55598,1598180
Sö 263 †$ ,0,Västeråkers kyrka,Västeråkers sn,Hagunda hd,Uppsala,Pr3 - Pr4?,59.75252,6627089,17.51065,1595827
Sö 264 $ ,0,Västeråkers kyrka,Västeråkers sn,Hagunda hd,Uppsala,Pr4,59.75252,6627098,17.51065,1595832
Sö 265  ,1,Torresta,Västeråkers sn,Hagunda hd,Uppsala,Pr4,59.54384,6627845,17.50061,1594481
Sö 266  ,1,Balingsta kyrka,Balingsta sn,Hagunda hd,Uppsala,?,59.7639,6628252,17.4253,1591040
Sö 267 † ,0,Balingsta kyrka,Balingsta sn,Hagunda hd,Uppsala,?,59.7639,6628252,17.4253,1591040
Sö 268  ,0,Balingsta kyrka,Balingsta sn,Hagunda hd,Uppsala,Pr4,59.7639,6628252,17.4253,1591040
Sö 269 $ ,1,Balingsta kyrka,Balingsta sn,Hagunda hd,Uppsala,?,59.7639,6628252,17.4253,1591040
Sö 27  ,0,Skolhuset,Balingsta sn,Hagunda hd,Uppsala,?,58.39164,6628167,13.58024,1591098
Sö 270 $ ,1,Prästgården,Balingsta sn,Hagunda hd,Uppsala,Pr4,59.76266,6628197,17.42505,1590893
Sö 271 † ,0,Prästgården,Balingsta sn,Hagunda hd,Uppsala,Pr2?,59.76266,6628790,17.42505,1590300
Sö 272 $ ,0,Frövi,Balingsta sn,Hagunda hd,Uppsala,Pr4,59.4662,6625872,15.36507,1590017
Sö 273  ,1,Frövi,Balingsta sn,Hagunda hd,Uppsala,Fp,59.4662,6626000,15.36507,1589840
Sö 274  ,1,Kumla,Balingsta sn,Hagunda hd,Uppsala,Pr4?,59.11796,6627300,15.12056,1592650
Sö 275  ,0,Måsta,Balingsta sn,Hagunda hd,Uppsala,Pr3,59.77923,6630161,17.42597,1590582
Sö 276 $ ,1,Måsta,Balingsta sn,Hagunda hd,Uppsala,Pr3,59.77923,6630100,17.42597,1590580
Sö 277  ,0,Norsta,Balingsta sn,Hagunda hd,Uppsala,Pr3?,59.85856,6626591,17.63893,1592550
Sö 278  ,0,Säva,Balingsta sn,Hagunda hd,Uppsala,Pr4?,59.84621,6628672,16.91005,1589289
Sö 279  ,0,Tibble,Balingsta sn,Hagunda hd,Uppsala,?,59.99897,6627200,17.86228,1590850
Sö 28 † ,0,Vik,Balingsta sn,Hagunda hd,Uppsala,Pr2?,59.73638,6625825,17.46254,1593100
Sö 280  ,0,Vik,Balingsta sn,Hagunda hd,Uppsala,Pr2?,59.73638,6626116,17.46254,1592845
Sö 289  ,1,Hagby kyrka,Hagby sn,Hagunda hd,Uppsala,Pr3?,59.80162,6632382,17.37639,1588198
Sö 29 † ,0,Focksta,Hagby sn,Hagunda hd,Uppsala,Pr3,59.79457,6631388,17.36904,1587808
Sö 290  ,1,Focksta,Hagby sn,Hagunda hd,Uppsala,Fp,59.79457,6631289,17.36904,1587770
Sö 291 $ ,0,Möjbro,Hagby sn,Hagunda hd,Uppsala,,59.81302,6633909,17.3819,1587061
Sö 292 $ ,1,Möjbro,Hagby sn,Hagunda hd,Uppsala,Pr3,59.81538,6633900,17.35687,1587000
Sö 293  ,0,Bragby,Ramsta sn,Hagunda hd,Uppsala,Pr4,59.78675,6631010,17.43718,1591143
Sö 294 † ,0,Skogstibble kyrka,Skogstibble sn (nu Skogs-Tibble),Hagunda hd,Uppsala,Pr5,59.83157,6635442,17.31847,1584774
Sö 295 † ,0,Skogstibble kyrka,Skogstibble sn (nu Skogs-Tibble),Hagunda hd,Uppsala,?,59.83157,6635435,17.31847,1584773
Sö 296  ,1,Skogstibble kyrka,Skogstibble sn (nu Skogs-Tibble),Hagunda hd,Uppsala,?,59.83157,6635435,17.31847,1584773
Sö 297  ,1,Prästgården,Skogstibble sn (nu Skogs-Tibble),Hagunda hd,Uppsala,?,59.73888,6635530,17.72977,1584775
Sö 298  ,1,Ingla,Skogstibble sn (nu Skogs-Tibble),Hagunda hd,Uppsala,Pr3 - Pr4,59.83722,6636256,17.30581,1584417
Sö 299  ,0,Ingla,Skogstibble sn (nu Skogs-Tibble),Hagunda hd,Uppsala,Pr4,59.83722,6636198,17.30581,1584306
